value,reason
19576,marked_to_delete
19577,marked_to_delete
19578,marked_to_delete
19579,marked_to_delete
19580,marked_to_delete
19581,marked_to_delete
19582,marked_to_delete
19583,marked_to_delete
19584,marked_to_delete
19585,marked_to_delete
19586,marked_to_delete
19587,marked_to_delete
19588,marked_to_delete
19589,marked_to_delete
19590,marked_to_delete
19591,marked_to_delete
19592,marked_to_delete
19593,marked_to_delete
19594,marked_to_delete
19595,marked_to_delete
19596,marked_to_delete
19597,marked_to_delete
19598,marked_to_delete
19599,marked_to_delete
19600,marked_to_delete
19613,auto_duplicate
19614,auto_duplicate
19615,auto_duplicate
19642,auto_duplicate
19647,from_emlo_matches
19648,from_emlo_matches
19686,auto_duplicate
19687,auto_duplicate
19688,auto_duplicate
19691,author_or_recipient_unknown
19909,from_emlo_matches
19911,auto_duplicate
200028,marked_to_delete
200065,auto_duplicate
200066,auto_duplicate
200068,marked_to_delete
200069,marked_to_delete
200081,marked_to_delete
200084,marked_to_delete
200085,marked_to_delete
200095,auto_duplicate
200103,marked_to_delete
200113,marked_to_delete
200119,marked_to_delete
200120,author_or_recipient_unknown|marked_to_delete
200124,marked_to_delete
200192,marked_to_delete
200202,from_emlo_matches
200203,from_emlo_matches
200204,auto_duplicate
200209,marked_to_delete
200214,marked_to_delete
200216,marked_to_delete
200217,marked_to_delete
200218,marked_to_delete
200219,marked_to_delete
200220,marked_to_delete
200221,marked_to_delete
200229,marked_to_delete
200233,marked_to_delete
200241,marked_to_delete
200253,marked_to_delete
200280,from_emlo_matches
200287,marked_to_delete
200330,marked_to_delete
200334,marked_to_delete
200373,marked_to_delete
200376,marked_to_delete
200400,marked_to_delete
200404,marked_to_delete
200410,marked_to_delete
200411,author_or_recipient_unknown
200425,marked_to_delete
200426,marked_to_delete
200429,marked_to_delete
200434,marked_to_delete
200453,marked_to_delete
200456,marked_to_delete
200457,marked_to_delete
200460,marked_to_delete
200463,marked_to_delete
200467,marked_to_delete
200468,auto_duplicate
200470,marked_to_delete
200471,marked_to_delete
20050,author_or_recipient_unknown
200501,marked_to_delete
200546,marked_to_delete
200562,marked_to_delete
200564,marked_to_delete
200579,marked_to_delete
200610,marked_to_delete
200614,marked_to_delete
200640,auto_duplicate
200660,auto_duplicate
200661,auto_duplicate
200662,auto_duplicate
200663,marked_to_delete
20071,author_or_recipient_unknown
20255,auto_duplicate
20256,auto_duplicate
20308,author_or_recipient_unknown
20327,marked_to_delete
20342,auto_duplicate
20361,auto_duplicate
20369,auto_duplicate
20370,auto_duplicate
20371,auto_duplicate
20375,auto_duplicate
20376,auto_duplicate
20379,auto_duplicate
20385,auto_duplicate
20479,marked_to_delete
2060,from_emlo_matches
20735,author_or_recipient_unknown
20736,author_or_recipient_unknown
20810,author_or_recipient_unknown
20822,author_or_recipient_unknown
20834,author_or_recipient_unknown
20846,author_or_recipient_unknown
20880,author_or_recipient_unknown
20917,author_or_recipient_unknown
20921,author_or_recipient_unknown
20993,author_or_recipient_unknown
21133,author_or_recipient_unknown
21134,author_or_recipient_unknown
21242,auto_duplicate
21243,auto_duplicate
21248,author_or_recipient_unknown
21252,from_emlo_matches
21253,from_emlo_matches
21269,from_emlo_matches
21352,auto_duplicate
21353,auto_duplicate
21356,auto_duplicate
21359,auto_duplicate
21360,auto_duplicate
21361,auto_duplicate
21362,auto_duplicate
21373,from_emlo_matches
21410,author_or_recipient_unknown
21413,auto_duplicate
21414,auto_duplicate
21415,auto_duplicate
21419,auto_duplicate
21420,auto_duplicate
21421,auto_duplicate
21422,auto_duplicate
21423,auto_duplicate
21424,auto_duplicate
21427,auto_duplicate
21480,auto_duplicate
21502,from_emlo_matches
21542,author_or_recipient_unknown
21623,author_or_recipient_unknown
21704,from_emlo_matches
21705,from_emlo_matches
21706,from_emlo_matches
21707,from_emlo_matches
21708,from_emlo_matches
21709,from_emlo_matches
21710,from_emlo_matches
21711,from_emlo_matches
21713,from_emlo_matches
21830,auto_duplicate
21833,auto_duplicate
