value,reason
302109,from_emlo_matches
302124,marked_to_delete
302131,from_emlo_matches
302132,from_emlo_matches
302133,from_emlo_matches
302135,from_emlo_matches
302136,from_emlo_matches
302138,from_emlo_matches
302139,from_emlo_matches
30214,from_emlo_matches
302140,from_emlo_matches
302141,from_emlo_matches
302142,from_emlo_matches
302143,from_emlo_matches
302144,from_emlo_matches
302145,from_emlo_matches
302146,from_emlo_matches
302147,from_emlo_matches
30215,from_emlo_matches
302150,from_emlo_matches
302151,from_emlo_matches
302152,from_emlo_matches
302153,from_emlo_matches
302154,from_emlo_matches
302155,from_emlo_matches
302156,from_emlo_matches
302157,from_emlo_matches
302158,from_emlo_matches
302161,from_emlo_matches
302162,from_emlo_matches
302163,from_emlo_matches
302164,from_emlo_matches
302167,from_emlo_matches
302168,from_emlo_matches
302170,from_emlo_matches
302179,from_emlo_matches
302184,from_emlo_matches
302185,from_emlo_matches
302186,from_emlo_matches
302188,from_emlo_matches
302189,from_emlo_matches
302190,from_emlo_matches
302191,from_emlo_matches
302192,from_emlo_matches
302193,from_emlo_matches
302194,from_emlo_matches
302195,from_emlo_matches
302197,from_emlo_matches
302199,from_emlo_matches
302201,from_emlo_matches
302315,from_emlo_matches
302344,marked_to_delete
3027,marked_to_delete
302707,marked_to_delete
302868,from_emlo_matches
302922,from_emlo_matches
302923,from_emlo_matches
302924,from_emlo_matches
302933,from_emlo_matches
302945,from_emlo_matches
302960,marked_to_delete
302981,marked_to_delete
302987,marked_to_delete
303013,marked_to_delete
303056,marked_to_delete
303071,from_emlo_matches
303083,marked_to_delete
303123,marked_to_delete
303140,marked_to_delete
303142,marked_to_delete
303145,from_emlo_matches
303162,marked_to_delete
303164,from_emlo_matches
303169,marked_to_delete
303185,marked_to_delete
303211,from_emlo_matches
303215,marked_to_delete
303217,from_emlo_matches|marked_to_delete
303218,marked_to_delete
303220,from_emlo_matches
303221,from_emlo_matches
303222,from_emlo_matches
303223,marked_to_delete
303229,marked_to_delete
303232,marked_to_delete
303234,from_emlo_matches|marked_to_delete
303315,marked_to_delete
303316,marked_to_delete
303321,marked_to_delete
303324,marked_to_delete
303347,from_emlo_matches
303349,marked_to_delete
303399,from_emlo_matches
303400,marked_to_delete
303419,marked_to_delete
303435,marked_to_delete
303436,from_emlo_matches
303461,from_emlo_matches
303462,from_emlo_matches
303463,from_emlo_matches
303464,from_emlo_matches
303465,from_emlo_matches
303466,from_emlo_matches
303467,from_emlo_matches
303468,from_emlo_matches
303518,marked_to_delete
303520,marked_to_delete
303557,from_emlo_matches
303558,from_emlo_matches
303609,marked_to_delete
303643,from_emlo_matches
303653,from_emlo_matches
303654,from_emlo_matches
303655,from_emlo_matches
303657,from_emlo_matches
303658,from_emlo_matches
303659,from_emlo_matches
303660,from_emlo_matches
303661,from_emlo_matches
303664,from_emlo_matches
303678,marked_to_delete
303679,marked_to_delete
303692,marked_to_delete
303695,marked_to_delete
303699,marked_to_delete
303704,from_emlo_matches|marked_to_delete
303705,marked_to_delete
303706,from_emlo_matches|marked_to_delete
303707,from_emlo_matches|marked_to_delete
303711,marked_to_delete
303720,marked_to_delete
303821,marked_to_delete
303829,from_emlo_matches
303830,from_emlo_matches
303833,from_emlo_matches
303844,marked_to_delete
303854,marked_to_delete
303891,marked_to_delete
303928,marked_to_delete
303941,from_emlo_matches
304024,marked_to_delete
304030,marked_to_delete
304095,marked_to_delete
304110,marked_to_delete
304111,marked_to_delete
304117,marked_to_delete
304121,auto_duplicate
304138,auto_duplicate
304148,auto_duplicate
304151,auto_duplicate
304152,from_emlo_matches
304215,marked_to_delete
304293,marked_to_delete
304315,marked_to_delete
304323,marked_to_delete
304368,marked_to_delete
304391,marked_to_delete
304395,marked_to_delete
304396,marked_to_delete
304397,marked_to_delete
304426,marked_to_delete
304431,from_emlo_matches
304432,marked_to_delete
304434,marked_to_delete
304436,marked_to_delete
304438,marked_to_delete
304439,marked_to_delete
304441,from_emlo_matches
304442,marked_to_delete
304443,from_emlo_matches
304444,from_emlo_matches
304446,from_emlo_matches
304450,from_emlo_matches
304451,from_emlo_matches
304453,marked_to_delete
304456,marked_to_delete
304457,marked_to_delete
304460,marked_to_delete
304461,marked_to_delete
304465,from_emlo_matches
304473,from_emlo_matches
304480,marked_to_delete
304489,marked_to_delete
304490,marked_to_delete
304492,marked_to_delete
304496,marked_to_delete
304503,marked_to_delete
304514,marked_to_delete
304520,marked_to_delete
304531,marked_to_delete
304532,marked_to_delete
304563,marked_to_delete
304566,marked_to_delete
304567,marked_to_delete
304571,marked_to_delete
304576,marked_to_delete
304594,marked_to_delete
304595,marked_to_delete
304598,marked_to_delete
304620,marked_to_delete
30476,auto_duplicate
30482,from_emlo_matches
30648,auto_duplicate
30715,auto_duplicate
30717,auto_duplicate
30718,auto_duplicate
30719,auto_duplicate
30720,auto_duplicate
30722,auto_duplicate
30724,auto_duplicate
30727,auto_duplicate
30732,auto_duplicate
30734,auto_duplicate
31003,from_emlo_matches
31034,auto_duplicate
31251,marked_to_delete
3129,auto_duplicate
31373,auto_duplicate
31382,auto_duplicate
31384,auto_duplicate
31386,auto_duplicate
31388,auto_duplicate
31389,auto_duplicate
31390,auto_duplicate
31391,auto_duplicate
31395,auto_duplicate
31403,from_emlo_matches
31410,from_emlo_matches
31411,from_emlo_matches
31412,from_emlo_matches
31413,from_emlo_matches
31414,from_emlo_matches
31442,from_emlo_matches
31443,from_emlo_matches
31444,from_emlo_matches
31445,from_emlo_matches
31446,from_emlo_matches
31447,from_emlo_matches
31448,from_emlo_matches
31449,from_emlo_matches
31450,from_emlo_matches
31451,from_emlo_matches
31452,from_emlo_matches
31453,from_emlo_matches
31454,from_emlo_matches
31455,from_emlo_matches
31456,from_emlo_matches
31457,from_emlo_matches
31458,from_emlo_matches
31459,from_emlo_matches
31460,from_emlo_matches
31461,from_emlo_matches
31462,from_emlo_matches
31463,from_emlo_matches
31464,from_emlo_matches
31465,from_emlo_matches
31466,from_emlo_matches
31467,from_emlo_matches
31468,from_emlo_matches
31469,from_emlo_matches
31470,from_emlo_matches
31471,from_emlo_matches
31472,from_emlo_matches
31473,from_emlo_matches
31474,from_emlo_matches
31475,from_emlo_matches
31476,from_emlo_matches
31477,from_emlo_matches
31478,from_emlo_matches
31479,from_emlo_matches
31480,from_emlo_matches
31481,from_emlo_matches
31482,from_emlo_matches
31483,from_emlo_matches
31484,from_emlo_matches
31485,from_emlo_matches
31486,from_emlo_matches
31487,from_emlo_matches
31488,from_emlo_matches
31489,from_emlo_matches
31490,from_emlo_matches
31491,from_emlo_matches
31492,from_emlo_matches
31493,from_emlo_matches
31494,from_emlo_matches
31495,from_emlo_matches
31496,from_emlo_matches
31497,from_emlo_matches
31498,from_emlo_matches
31499,from_emlo_matches
31500,from_emlo_matches
31502,from_emlo_matches
31504,from_emlo_matches
31505,from_emlo_matches
31506,from_emlo_matches
31507,from_emlo_matches
31508,from_emlo_matches
31515,from_emlo_matches
31516,from_emlo_matches
31517,from_emlo_matches
31518,from_emlo_matches
31519,from_emlo_matches
31520,from_emlo_matches
31521,from_emlo_matches
31522,from_emlo_matches
31523,from_emlo_matches
31524,from_emlo_matches
31525,from_emlo_matches
31526,from_emlo_matches
31527,from_emlo_matches
31528,from_emlo_matches
31529,from_emlo_matches
31530,from_emlo_matches
31531,from_emlo_matches
31532,from_emlo_matches
31533,from_emlo_matches
31534,from_emlo_matches
31535,from_emlo_matches
31537,from_emlo_matches
31538,from_emlo_matches
31539,from_emlo_matches
31540,from_emlo_matches
31541,from_emlo_matches
31542,from_emlo_matches
31543,from_emlo_matches
31544,from_emlo_matches
31592,auto_duplicate
31657,auto_duplicate
31673,from_emlo_matches
31674,from_emlo_matches
31675,from_emlo_matches
31676,from_emlo_matches
31677,from_emlo_matches
31679,from_emlo_matches
31680,from_emlo_matches
31681,from_emlo_matches
31682,from_emlo_matches
31683,from_emlo_matches
31684,from_emlo_matches
31685,from_emlo_matches
31686,from_emlo_matches
31687,from_emlo_matches
31688,from_emlo_matches
31689,from_emlo_matches
31690,from_emlo_matches
31691,from_emlo_matches
31692,from_emlo_matches
31693,from_emlo_matches
31694,from_emlo_matches
31695,from_emlo_matches
31696,from_emlo_matches
31697,from_emlo_matches
31698,from_emlo_matches
31699,from_emlo_matches
31700,from_emlo_matches
31701,from_emlo_matches
31702,from_emlo_matches
31703,from_emlo_matches
31704,from_emlo_matches
31705,from_emlo_matches
31706,from_emlo_matches
31707,from_emlo_matches
31708,from_emlo_matches
31709,from_emlo_matches
31710,from_emlo_matches
31711,from_emlo_matches
31712,from_emlo_matches
31713,from_emlo_matches
31714,from_emlo_matches
31715,from_emlo_matches
31716,from_emlo_matches
31717,from_emlo_matches
31718,from_emlo_matches
31720,from_emlo_matches
31721,from_emlo_matches
31722,from_emlo_matches
31723,from_emlo_matches
31724,from_emlo_matches
31725,from_emlo_matches
31726,from_emlo_matches
31727,from_emlo_matches
31728,from_emlo_matches
31729,from_emlo_matches
31730,from_emlo_matches
31731,from_emlo_matches
